"group","local_path","source_url","retrieved_at_utc","status","http_status","content_type","size_bytes","sha256","error","data_origin"
"fhwa_reference","raw/fhwa/reference/FHWA-1413-Inspector-Daily-Record.pdf","https://highways.dot.gov/sites/fhwa.dot.gov/files/docs/federal-lands/construction/15741/idr-1413.pdf","2026-09-01T09:34:58.8939305Z","failed",,,,,"Response status code does not indicate success: 403 (Forbidden).","real"
"fhwa_reference","raw/fhwa/reference/WFLHD-465-Contractor-Daily-Record.pdf","https://highways.dot.gov/sites/fhwa.dot.gov/files/2024-07/WFLHD-465-CDR.pdf","2026-09-01T09:34:58.8939305Z","failed",,,,,"Response status code does not indicate success: 403 (Forbidden).","real"
"fhwa_reference","raw/fhwa/reference/WFLHD-472-Contractor-Daily-QC-Report.pdf","https://highways.dot.gov/sites/fhwa.dot.gov/files/2024-07/WFLHD-472-QCR.pdf","2026-09-01T09:34:58.8939305Z","failed",,,,,"Response status code does not indicate success: 403 (Forbidden).","real"
"fhwa_reference","raw/fhwa/reference/FHWA-1446A-Construction-Inspection-Report.pdf","https://highways.dot.gov/federal-lands/construction/forms/wfl/fhwa-1446a","2026-09-01T09:34:58.8939305Z","failed",,,,,"Response status code does not indicate success: 403 (Forbidden).","real"
"fhwa_reference","raw/fhwa/reference/FHWA-Construction-Program-Management-and-Inspection-Guide-2004.pdf","https://www.fhwa.dot.gov/construction/cpmi04.pdf","2026-09-01T09:34:58.8939305Z","downloaded","200","application/pdf","4866884","0e84a84f62ad08ddfa971f00cd07829d41aaed5fbb2a04752c455e989585e21f","","real"
"fhwa_reference","raw/fhwa/reference/FHWA-Create-Daily-Diary.pdf","https://highways.dot.gov/sites/fhwa.dot.gov/files/docs/federal-lands/construction/16751/create-daily-diary.pdf","2026-09-01T09:34:58.8939305Z","failed",,,,,"Response status code does not indicate success: 403 (Forbidden).","real"
"fhwa_reference","raw/fhwa/reference/FHWA-Masterworks-Construction-Participant-Guide.pdf","https://highways.dot.gov/sites/fhwa.dot.gov/files/M06A-Construction.pdf","2026-09-01T09:34:58.8939305Z","failed",,,,,"Response status code does not indicate success: 403 (Forbidden).","real"
"fhwa_reference","raw/fhwa/reference/FHWA-Reports-Dashboard-Participant-Guide.pdf","https://highways.dot.gov/federal-lands/estimates/mw-guide/M10-Reports-Dashboard.pdf","2026-09-01T09:34:58.8939305Z","failed",,,,,"Response status code does not indicate success: 403 (Forbidden).","real"
"fhwa_reference","raw/fhwa/reference/EFL-Construction-Forms.zip","https://highways.dot.gov/sites/fhwa.dot.gov/files/docs/federal-lands/construction/forms-efl/EFL_Construction_Forms.zip","2026-09-01T09:34:58.8939305Z","failed",,,,,"Response status code does not indicate success: 403 (Forbidden).","real"
"policy","raw/policy/data-wsdot-robots.txt","https://data.wsdot.wa.gov/robots.txt","2026-09-01T09:34:58.8939305Z","failed",,,,,"Response status code does not indicate success: 404 (Not Found).","real"
"policy","raw/policy/wsdot-robots.txt","https://wsdot.wa.gov/robots.txt","2026-09-01T09:34:58.8939305Z","downloaded","200","text/plain","2027","773fb8d35bb9a39d35335ee6db8dc5c912d2aacbfb823152d9c61cd647dd902d","","real"
"policy","raw/policy/highways-dot-gov-robots.txt","https://highways.dot.gov/robots.txt","2026-09-01T09:34:58.8939305Z","failed",,,,,"Response status code does not indicate success: 403 (Forbidden).","real"
"policy","raw/policy/fhwa-dot-gov-robots.txt","https://www.fhwa.dot.gov/robots.txt","2026-09-01T09:34:58.8939305Z","downloaded","200","text/plain","2593","ff067b9f7f861db930cefb1e46dd9a9ba945bb81aa7ffdcc90f953b679c0119d","","real"
"policy","raw/policy/wsdot-web-privacy-notice.html","https://wsdot.wa.gov/about/policies/web-privacy-notice","2026-09-01T09:34:58.8939305Z","downloaded","200","text/html; charset=UTF-8","146394","2d9b04d6bfecaaf66279f6a17cbbfa2a38651fe05d407afae009be9e0da3943b","","real"
