CFIHOS unique code,coding source code,CFIHOS code equivalent value,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-20000033,POSC CAESAR,RDS2224674,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,33,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000043,POSC CAESAR,RDS2224677,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,34,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000001,POSC CAESAR,RDS1324408031,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,35,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000002,STEPLIB,670171,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,36,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000002,POSC CAESAR,RDS16236439,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,37,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000003,ISO 14224:2016,BO,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,38,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000003,POSC CAESAR,RDS6712331,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,39,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000004,ISO 14224:2016,FF,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,40,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000005,ISO 14224:2016,ER,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,41,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000005,POSC CAESAR,RDS621044,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,42,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000005,ISO 14224:2016,SD,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,43,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000006,STEPLIB,40017,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,44,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000006,POSC CAESAR,RDS289304,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,45,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000007,STEPLIB,70037,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,46,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000007,POSC CAESAR,RDS485369,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,47,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000008,POSC CAESAR,RDS286244,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,48,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000010,STEPLIB,71262,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,49,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000010,ISO 14224:2016,IPLS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,50,source_reference_record,source_reference_record_unreviewed
