CFIHOS unique code,source standard code,source standard description,source standard still to be completed indicator,,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-90000108,API Std 674:2016,Positive Displacement Pumps—Reciprocating,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,104,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000109,IOGP S-701:2020,AC Uninterruptible Power Systems (UPS),yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,105,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000110,IOGP S-702:2020,DC Uninterruptible Power Systems (UPS),yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,106,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000111,IOGP S-704:2021,High Voltage Three-phase Cage Induction Motors,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,107,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000112,IOGP S-707:2020,Actuators for On-off Valves,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,108,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000113,IOGP S-716:2021,Small Bore Tubing and Fittings,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,109,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000114,IOGP S-720:2020,Transformers,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,110,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000115,IOGP S-722:2020,Flare Package,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,111,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000116,IOGP S-723:2020,Electric Process Heaters,yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,112,source_reference_record,source_reference_record_unreviewed
CFIHOS-90000117,IOGP S-724:2021,Subsea Fasteners (Alloy and Carbon Steel Bolting),yes,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE source standard v2.0.csv,113,source_reference_record,source_reference_record_unreviewed
