parent equipment class name,equipment class CFIHOS unique code,equipment class name,equipment class definition,abstract class indicator,spare part information required indicator,equipment class existence reason description,equipment class synonym name,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
transmitter,CFIHOS-30000276,voltage transmitter,A transmitter which output is relative to a measured voltage.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,194,source_reference_record,source_reference_record_unreviewed
flow transmitter,CFIHOS-30000277,vortex flow transmitter,A transmitter specially designed to convert the signal in a vortex flow meter into a standardized output signal.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,195,source_reference_record,source_reference_record_unreviewed
other mechanical equipment,CFIHOS-30000278,waste compactor,A compactor is a machine or mechanism used to reduce the size of waste material.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,196,source_reference_record,source_reference_record_unreviewed
heat exchanger,CFIHOS-30000279,water cooler,A water cooler is a device that cools and dispenses water.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,197,source_reference_record,source_reference_record_unreviewed
other mechanical equipment,CFIHOS-30000280,water desalination system,Is a fresh water system.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,198,source_reference_record,source_reference_record_unreviewed
other mechanical equipment,CFIHOS-30000281,water maker,"A device for producing drinking water, but not necessarily by reverse osmosis.",no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,199,source_reference_record,source_reference_record_unreviewed
miscellaneous equipment,CFIHOS-30000283,well,A well is a collection of (zero or more) holes drilled into the Earth for the purpose of either (1) finding or producing underground resources; or (2) providing services related to the production of underground resources.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,200,source_reference_record,source_reference_record_unreviewed
miscellaneous equipment,CFIHOS-30000284,wellhead,"The wellhead is assembled from, or incorporates facilities for, the upper casing and tubing hangers. This effectively provides the upper termination of the wellbore and provides a mounting position for the surface flow-control equipment or Christmas tree.",no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,201,source_reference_record,source_reference_record_unreviewed
lifting device,CFIHOS-30000285,winch,"A powerful machine with one or more drums on which to coil a rope, cable, or chain for hauling or hoisting.",no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,202,source_reference_record,source_reference_record_unreviewed
detector,CFIHOS-30000286,anemometer,"A detecting instrument for recording wind speed, and possibly wind direction.",no,yes,,wind meter,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,203,source_reference_record,source_reference_record_unreviewed
lifting device,CFIHOS-30000287,wire hoist,"A hoist utilizing a wire-rope for suspending load. Wire hoists are normally electrically powered, but also (hand) lever types exists.",no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,204,source_reference_record,source_reference_record_unreviewed
other mechanical equipment,CFIHOS-30000288,wire line unit,Is a well services facility intended to handle wire lines.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,205,source_reference_record,source_reference_record_unreviewed
lifting device,CFIHOS-30000289,wire sling,A sling for enclosing material to be hoisted by a tackle or crane made by wire.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,206,source_reference_record,source_reference_record_unreviewed
IT and telecom equipment,CFIHOS-30000290,wireless access point,"A wireless access point (WAP) is a device that allows wired communication devices to connect to a wireless network using Wi-Fi, Bluetooth or related standards. The WAP usually connects to a router, and can relay data between the wireless devices (such as computers or printers) and wired devices on the network.",no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,207,source_reference_record,source_reference_record_unreviewed
mechanical equipment class,CFIHOS-30000291,damper,"A device that damps, typically a valve or plate (as in the flue of a furnace) for regulating the draft, or a device to stop vibration, typically a shock absorber or snubber.",yes,no,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,208,source_reference_record,source_reference_record_unreviewed
instrument equipment,CFIHOS-30000292,indicating instrument,A device which gives a visual indication of a measured value.,no,yes,,indicator,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,209,source_reference_record,source_reference_record_unreviewed
control valve,CFIHOS-30000294,down hole safety valve,A valve that is intended for subsurface control/check operation.,no,no,"BP, Chevron & Shell Tagging Specification",subsurface safety valve,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,210,source_reference_record,source_reference_record_unreviewed
pressure relief device,CFIHOS-30000295,relief valve,A self operating valve that is set to open at a certain pressure level to prevent the pressure in a container or system from reaching unsafe levels.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,211,source_reference_record,source_reference_record_unreviewed
infrastructure,CFIHOS-30000297,basin,A container intended to store liquid or solid material partly or totally below grade and that is typically open.,no,no,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,212,source_reference_record,source_reference_record_unreviewed
lifting device,CFIHOS-30000298,basket,A container that has a characteristic shape and that is made of material with an open structure.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,213,source_reference_record,source_reference_record_unreviewed
other mechanical equipment,CFIHOS-30000299,cap,A physical object that is a hood or covering for the top or end of something.,no,no,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,214,source_reference_record,source_reference_record_unreviewed
enclosure,CFIHOS-30000300,chamber,A physical object that is an enclosed space.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,215,source_reference_record,source_reference_record_unreviewed
other mechanical equipment,CFIHOS-30000301,door,A physical object that is an opening in a barrier and a removable physical object that can block the opening.,no,no,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,216,source_reference_record,source_reference_record_unreviewed
class,CFIHOS-30000303,enclosure,A physical object that separates enclosed physical objects from those outside.,yes,no,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,217,source_reference_record,source_reference_record_unreviewed
piping and pipeline equipment,CFIHOS-30000304,flange,"A physical object that is a projecting flat rim, plate, collar or rib.",no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,218,source_reference_record,source_reference_record_unreviewed
other mechanical equipment,CFIHOS-30000305,frame,A physical object that is an open structure of beams or bars.,no,yes,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE equipment class v2.0.csv,219,source_reference_record,source_reference_record_unreviewed
