tag or equipment class CFIHOS unique code,tag or equipment class,source standard CFIHOS unique code,source standard code,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-30000517,bearing,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,58,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000399,bell,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,59,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000562,belt conveyor,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,60,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000002,bicycle,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,61,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000003,blow out preventer,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,62,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000518,blower,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,63,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000384,boiler,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,64,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000519,brake,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,65,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000004,break glass unit,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,66,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000005,breathing apparatus,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,67,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000595,buoy,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,68,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000320,busbar,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,69,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000007,cabinet,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,70,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000322,capacitor bank,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,71,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000011,car,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,72,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000012,cctv camera,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,73,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000522,centrifuge,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,74,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000596,chain,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,75,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000563,chain conveyor,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,76,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000013,chain hoist,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,77,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000300,chamber,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,78,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000494,christmas tree,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,79,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000323,circuit-breaker,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,80,source_reference_record,source_reference_record_unreviewed
CFIHOS-30000017,cleaning machine,CFIHOS-90000177,CFIHOS,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE tag or equipment class source standard v2.0.csv,81,source_reference_record,source_reference_record_unreviewed
